eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
50.0,-49.88,0.3486025333404541,438,16500,5.866327285766602,-3.6265451908111572,330000,18.189882278442383
50.0,-49.87,0.37971240282058716,438,16600,5.898042678833008,0.06792159378528595,332000,16.965496063232422
50.0,-49.88,0.1308550238609314,438,16700,5.911527633666992,-6.6000213623046875,334000,25.44462013244629
50.0,-49.89,0.34228843450546265,438,16800,5.894437789916992,-0.3642445206642151,336000,17.94679832458496
50.0,-49.93,0.6728369295597076,438,16900,5.890856742858887,2.163255214691162,338000,9.047355651855469
50.0,-49.88,0.6271873414516449,438,17000,5.887733459472656,-1.4517648220062256,340000,10.167715072631836
50.0,-49.91,0.3198515772819519,438,17100,5.898026466369629,-6.450310230255127,342000,20.055953979492188
50.0,-49.9,0.3665304183959961,438,17200,5.906222343444824,-5.58217191696167,344000,17.92386245727539
50.0,-49.94,0.6302350759506226,438,17300,5.930601596832275,-4.580499649047852,346000,10.886698722839355
50.0,-49.91,0.5292155146598816,438,17400,5.946296691894531,-0.6059851050376892,348000,12.89294147491455
50.0,-49.92,0.2999679446220398,438,17500,5.951546669006348,3.7643275260925293,350000,19.178680419921875
50.0,-49.91,0.4568312168121338,438,17600,5.982599258422852,9.320893287658691,352000,17.40848159790039
50.0,-49.86,0.14064782857894897,438,17700,5.987274169921875,-10.541388511657715,354000,25.36269187927246
50.0,-49.92,0.39658641815185547,438,17800,5.982180118560791,-0.9458966255187988,356000,16.475963592529297
50.0,-49.9,0.13848215341567993,438,17900,6.015661239624023,-3.340139389038086,358000,23.608007431030273
50.0,-49.93,0.42394334077835083,438,18000,6.021337985992432,-2.7988805770874023,360000,16.457813262939453
50.0,-49.9,0.28525739908218384,438,18100,6.023373126983643,0.2859935164451599,362000,19.538782119750977
50.0,-49.93,0.47712939977645874,438,18200,6.011693477630615,0.780521035194397,364000,14.267237663269043
50.0,-49.94,0.1523999571800232,438,18300,5.998850345611572,-5.450577735900879,366000,23.483001708984375
50.0,-49.94,0.708674281835556,437,18400,5.965700149536133,1.1758288145065308,368000,8.078329086303711
50.0,-49.91,0.08802157640457153,438,18500,5.968377113342285,-4.002391338348389,370000,25.184402465820312
50.0,-49.86,0.1893429160118103,437,18600,5.974123477935791,-6.117372035980225,372000,23.043054580688477
50.0,-49.91,0.26656508445739746,437,18700,5.984438896179199,-1.5049989223480225,374000,20.01375389099121
50.0,-49.96,0.5317406058311462,437,18800,6.001283645629883,-5.145724773406982,376000,13.508822441101074
50.0,-49.98,0.5596577823162079,437,18900,6.021692752838135,-1.466609239578247,378000,12.171906471252441
50.0,-50.0,0.04439711570739746,437,19000,6.018488883972168,-2.0946919918060303,380000,26.269933700561523
50.0,-49.97,0.14857631921768188,437,19100,6.007397651672363,-8.684433937072754,382000,24.732460021972656
50.0,-49.93,0.4186193346977234,437,19200,6.008890151977539,-0.21838968992233276,384000,15.877001762390137
50.0,-49.94,-1.649090051651001,437,19300,6.002215385437012,15.390247344970703,386000,74.15252685546875
50.0,-49.95,0.5049335062503815,437,19400,6.007025718688965,-7.260167121887207,388000,14.641904830932617
50.0,-49.92,0.04441559314727783,437,19500,5.998477935791016,-7.473012447357178,390000,27.322362899780273
50.0,-49.89,0.22072511911392212,437,19600,6.005389213562012,0.16491100192070007,392000,21.308189392089844
50.0,-49.93,0.2283855676651001,437,19700,6.035416603088379,5.179831504821777,394000,21.344388961791992
50.0,-49.93,0.32113391160964966,437,19800,6.033419132232666,-7.44988489151001,396000,19.975446701049805
50.0,-49.94,0.41519486904144287,437,19900,6.005364418029785,4.099928379058838,398000,16.150623321533203
50.0,-49.97,0.550295501947403,437,20000,6.017236709594727,8.688970565795898,400000,13.934295654296875
50.0,-49.96,0.10018455982208252,437,20100,5.996970176696777,-2.4311420917510986,402000,24.990219116210938
50.0,-49.93,0.21556556224822998,437,20200,5.993189811706543,-4.519647121429443,404000,22.267749786376953
50.0,-49.88,0.10975861549377441,437,20300,6.007960796356201,-8.443161010742188,406000,25.751474380493164
50.0,-49.83,0.1244392991065979,436,20400,5.999320030212402,-6.236440658569336,408000,25.45782470703125
50.0,-49.81,0.40384721755981445,436,20500,6.010366439819336,4.236985683441162,410000,16.63043212890625
50.0,-49.89,0.16206341981887817,436,20600,6.03842306137085,-9.316818237304688,412000,24.525833129882812
50.0,-49.99,0.4497895836830139,436,20700,6.042994499206543,-0.5242513418197632,414000,15.040000915527344
50.0,-49.99,0.1551838517189026,436,20800,6.05238151550293,-7.675631046295166,416000,24.127796173095703
