epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
170,0.87555486,0.08529398,0.26271626,0.030429533,1710.0,-0.07358084,1.0,1710.0,0.69166666
171,0.87552613,0.08528004,0.2627099,0.03042458,1720.0,-0.071650244,1.0,1720.0,0.69166666
172,0.8755467,0.085278004,0.2627142,0.030423382,1730.0,-0.064589985,1.0,1730.0,0.73333335
173,0.8755233,0.08528338,0.2627077,0.030423542,1740.0,-0.062295873,1.0,1740.0,0.6666667
174,0.8755401,0.085288785,0.2627129,0.030424884,1750.0,-0.055212554,1.0,1750.0,0.76666665
175,0.8755285,0.085294925,0.2627104,0.030425021,1760.0,-0.07793783,1.0,1760.0,0.7166667
176,0.87552977,0.08529824,0.26270965,0.030425766,1770.0,-0.07584978,1.0,1770.0,0.76666665
177,0.87553334,0.08530626,0.26271075,0.030427242,1780.0,-0.06235378,1.0,1780.0,0.68333334
178,0.87558204,0.08531519,0.26272336,0.03042981,1790.0,-0.058053333,1.0,1790.0,0.69166666
179,0.8756102,0.08531513,0.26272947,0.030428985,1800.0,-0.045227304,1.0,1800.0,0.7
180,0.8756196,0.085330315,0.2627322,0.030433128,1810.0,-0.06451419,1.0,1810.0,0.625
181,0.87566733,0.08531871,0.26274523,0.030430144,1820.0,-0.04216227,1.0,1820.0,0.7083333
182,0.87568307,0.085323006,0.26274952,0.030431515,1830.0,-0.047365446,1.0,1830.0,0.65833336
183,0.8756768,0.08533475,0.26274654,0.030433705,1840.0,-0.05026552,1.0,1840.0,0.675
184,0.87566644,0.08534795,0.26274487,0.030436134,1850.0,-0.055389483,1.0,1850.0,0.5916667
185,0.87564653,0.08535644,0.26274067,0.030437892,1860.0,-0.057734534,1.0,1860.0,0.7
186,0.8756252,0.08535158,0.26273525,0.030435404,1870.0,-0.054089785,1.0,1870.0,0.7416666
187,0.8756037,0.085363306,0.2627289,0.030438105,1880.0,-0.063213125,1.0,1880.0,0.7833333
188,0.8755954,0.085375786,0.26272708,0.030439714,1890.0,-0.06638625,1.0,1890.0,0.76666665
189,0.8756154,0.08537134,0.26273263,0.030437404,1900.0,-0.064443976,1.0,1900.0,0.72499996
190,0.8755832,0.085366756,0.2627241,0.030434156,1910.0,-0.07595118,1.0,1910.0,0.6666667
191,0.8755873,0.08537664,0.26272544,0.030437097,1920.0,-0.05694129,1.0,1920.0,0.7583334
192,0.8756091,0.085371874,0.26273286,0.030434841,1930.0,-0.057839874,1.0,1930.0,0.64166665
193,0.87561893,0.085363485,0.2627358,0.03043285,1940.0,-0.057113487,1.0,1940.0,0.7
